Quê quán,Tuổi tác,Giới tính,Nghề nghiệp,Thu nhập (triệu),Ngân sách thuê nhà (triệu),Thói quen sinh hoạt,Yêu cầu tiện nghi,Địa điểm mục tiêu,Khu vực mong muốn,Diện tích (m2),Số phòng
Hải Dương,35,Nam,Phục vụ,9,3,Thích yên tĩnh,"['An ninh tốt', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 9.195028, 'Longitude': 103.743219}",Đan Phượng,25,1
Sơn La,19,Nam,Sinh viên,5,5,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 10.278338, 'Longitude': 106.528376}",Đống Đa,11,3
Lạng Sơn,30,Nam,Nhân viên văn phòng,20,2,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 21.323071, 'Longitude': 109.318019}",Sóc Sơn,34,1
Ninh Bình,33,Nam,Nhân viên văn phòng,9,3,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Bếp']","{'Latitude': 22.857475, 'Longitude': 109.214082}",Sóc Sơn,45,1
Lào Cai,27,Nữ,Nhân viên văn phòng,9,1,Thích yên tĩnh,"['Nội thất sẵn', 'Chỗ để xe', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 9.118749, 'Longitude': 103.05267}",Nam Từ Liêm,19,1
Quảng Ninh,26,Nữ,Kỹ sư,6,5,Không quan trọng,"['Máy lạnh', 'An ninh tốt', 'Chỗ để xe', 'Bếp']","{'Latitude': 8.616292, 'Longitude': 105.229244}",Ba Đình,49,4
Vĩnh Phúc,24,Nữ,Phục vụ,18,2,Không quan trọng,"['Nội thất sẵn', 'Bếp', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 13.550396, 'Longitude': 102.901596}",Phúc Thọ,11,1
Hải Dương,24,Nữ,Freelancer,5,1,Nuôi thú cưng,"['Nội thất sẵn', 'Bếp', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 21.912353, 'Longitude': 103.081388}",Thường Tín,32,3
Phú Thọ,29,Nam,Freelancer,17,3,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 20.568436, 'Longitude': 104.245525}",Gia Lâm,39,3
Tuyên Quang,25,Nam,Freelancer,18,4,Không quan trọng,['Máy lạnh'],"{'Latitude': 17.798834, 'Longitude': 103.210013}",Đống Đa,12,2
Hà Giang,35,Nữ,Nhân viên văn phòng,10,3,Không quan trọng,"['An ninh tốt', 'Bếp', 'Chỗ để xe']","{'Latitude': 18.882436, 'Longitude': 106.662867}",Thanh Oai,50,2
Tuyên Quang,32,Nữ,Phục vụ,10,1,Không quan trọng,['Bếp'],"{'Latitude': 20.152379, 'Longitude': 106.254893}",Quốc Oai,28,2
Sơn La,26,Nữ,Nhân viên văn phòng,15,2,Thích yên tĩnh,"['Bếp', 'Máy lạnh']","{'Latitude': 8.413364, 'Longitude': 102.8357}",Thạch Thất,43,2
Cao Bằng,35,Nữ,Kỹ sư,20,2,Thích yên tĩnh,"['Chỗ để xe', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 19.553933, 'Longitude': 106.541753}",Phú Xuyên,27,2
Quảng Ninh,31,Nam,Phục vụ,7,3,Không quan trọng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 21.128686, 'Longitude': 107.4178}",Sóc Sơn,46,3
Lào Cai,27,Nữ,Freelancer,5,5,Không quan trọng,"['Máy lạnh', 'An ninh tốt', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 8.490269, 'Longitude': 106.746424}",Đông Anh,25,3
Hòa Bình,26,Nữ,Nhân viên văn phòng,20,2,Thích yên tĩnh,"['Nội thất sẵn', 'Máy lạnh', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 10.156421, 'Longitude': 105.261199}",Hoàn Kiếm,48,3
Phú Thọ,32,Nữ,Phục vụ,8,1,Nuôi thú cưng,"['An ninh tốt', 'Bếp']","{'Latitude': 10.488135, 'Longitude': 105.26643}",Hoàn Kiếm,15,1
Hải Phòng,31,Nữ,Công nhân,17,1,Thích yên tĩnh,"['Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 23.139994, 'Longitude': 102.159259}",Gia Lâm,41,1
Bắc Ninh,35,Nam,Freelancer,19,2,Không quan trọng,"['Nội thất sẵn', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 17.404097, 'Longitude': 103.163455}",Hoài Đức,33,4
Bắc Giang,20,Nam,Sinh viên,3,3,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 19.701641, 'Longitude': 104.782411}",Thường Tín,24,4
Hà Nội,29,Nữ,Công nhân,7,3,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 19.586265, 'Longitude': 103.295956}",Hoài Đức,26,1
Điện Biên,24,Nam,Công nhân,15,5,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 12.824474, 'Longitude': 108.582655}",Thạch Thất,48,4
Điện Biên,29,Nữ,Nhân viên văn phòng,8,2,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 13.160089, 'Longitude': 106.513694}",Thanh Trì,26,2
Yên Bái,33,Nam,Phục vụ,7,3,Không quan trọng,"['An ninh tốt', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 12.602001, 'Longitude': 108.781919}",Ba Đình,20,2
Cao Bằng,25,Nam,Phục vụ,19,2,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 21.211903, 'Longitude': 105.000368}",Mỹ Đức,26,2
Vĩnh Phúc,31,Nữ,Nhân viên văn phòng,8,1,Không quan trọng,"['Nhà vệ sinh riêng', 'Bếp', 'Máy lạnh']","{'Latitude': 10.018015, 'Longitude': 108.761084}",Đống Đa,33,1
Hải Phòng,34,Nam,Phục vụ,17,3,Nuôi thú cưng,['Bếp'],"{'Latitude': 19.187002, 'Longitude': 107.131203}",Đông Anh,45,2
Thái Bình,31,Nữ,Nhân viên văn phòng,16,1,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 9.841696, 'Longitude': 103.613574}",Đống Đa,13,3
Hưng Yên,31,Nữ,Phục vụ,13,1,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 22.124581, 'Longitude': 108.676756}",Đống Đa,19,4
Hải Phòng,24,Nam,Freelancer,8,5,Nuôi thú cưng,"['Bếp', 'Chỗ để xe']","{'Latitude': 8.556868, 'Longitude': 103.902985}",Đan Phượng,21,1
Hải Dương,25,Nữ,Nhân viên văn phòng,14,3,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 11.898156, 'Longitude': 105.621319}",Sóc Sơn,32,3
Phú Thọ,28,Nam,Công nhân,19,5,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 18.997862, 'Longitude': 108.99111}",Hà Đông,24,4
Hà Giang,33,Nam,Nhân viên văn phòng,13,5,Nuôi thú cưng,['An ninh tốt'],"{'Latitude': 16.953907, 'Longitude': 103.361965}",Sơn Tây,33,2
Bắc Ninh,26,Nam,Công nhân,10,4,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 21.113756, 'Longitude': 105.666494}",Đông Anh,39,2
Hưng Yên,21,Nam,Sinh viên,3,1,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Bếp', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 11.218797, 'Longitude': 107.616432}",Tây Hồ,26,1
Bắc Giang,31,Nữ,Công nhân,12,2,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 15.414579, 'Longitude': 107.497248}",Long Biên,37,4
Hà Giang,32,Nữ,Phục vụ,13,3,Nuôi thú cưng,['Bếp'],"{'Latitude': 22.428948, 'Longitude': 102.172057}",Long Biên,24,4
Thái Nguyên,25,Nữ,Freelancer,8,2,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn']","{'Latitude': 11.618207, 'Longitude': 103.644342}",Mỹ Đức,10,2
Bắc Kạn,20,Nam,Sinh viên,2,5,Không quan trọng,"['An ninh tốt', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 16.907674, 'Longitude': 105.901633}",Thường Tín,20,1
Nam Định,31,Nữ,Nhân viên văn phòng,19,2,Không quan trọng,"['Bếp', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 20.451744, 'Longitude': 103.664255}",Ba Đình,19,2
Tuyên Quang,24,Nam,Freelancer,16,2,Không quan trọng,"['Bếp', 'Máy lạnh']","{'Latitude': 23.263436, 'Longitude': 105.271266}",Cầu Giấy,24,2
Nam Định,22,Nữ,Sinh viên,8,4,Không quan trọng,"['Chỗ để xe', 'Nội thất sẵn', 'Bếp']","{'Latitude': 14.814696, 'Longitude': 104.029279}",Phúc Thọ,34,3
Quảng Ninh,32,Nam,Kỹ sư,14,3,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 16.768568, 'Longitude': 108.026738}",Mỹ Đức,46,4
Sơn La,23,Nữ,Công nhân,18,4,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 13.121697, 'Longitude': 107.065339}",Hoàng Mai,14,3
Bắc Ninh,33,Nam,Nhân viên văn phòng,10,1,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 15.64396, 'Longitude': 103.122327}",Thanh Xuân,28,3
Hải Dương,27,Nam,Nhân viên văn phòng,19,2,Thích yên tĩnh,"['An ninh tốt', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 16.94411, 'Longitude': 104.809848}",Phúc Thọ,23,4
Yên Bái,27,Nữ,Kỹ sư,18,4,Thích yên tĩnh,"['Chỗ để xe', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 21.772614, 'Longitude': 102.263414}",Long Biên,20,4
Hà Nội,31,Nam,Nhân viên văn phòng,10,2,Không quan trọng,['Chỗ để xe'],"{'Latitude': 17.82675, 'Longitude': 109.144408}",Hoài Đức,16,4
Hà Nội,19,Nam,Sinh viên,6,3,Thích yên tĩnh,"['Bếp', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 14.778613, 'Longitude': 102.760285}",Thanh Oai,38,3
Yên Bái,24,Nữ,Nhân viên văn phòng,6,1,Thích yên tĩnh,['An ninh tốt'],"{'Latitude': 13.398343, 'Longitude': 106.04324}",Thanh Xuân,35,4
Bắc Kạn,29,Nam,Phục vụ,6,2,Thích yên tĩnh,"['Nội thất sẵn', 'Máy lạnh']","{'Latitude': 16.01072, 'Longitude': 104.932002}",Ba Vì,48,2
Hà Giang,19,Nam,Sinh viên,4,4,Nuôi thú cưng,['Bếp'],"{'Latitude': 11.878982, 'Longitude': 107.013495}",Thạch Thất,47,2
Yên Bái,26,Nữ,Kỹ sư,14,3,Nuôi thú cưng,"['Máy lạnh', 'An ninh tốt', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 16.652513, 'Longitude': 108.796977}",Ba Vì,13,2
Bắc Ninh,34,Nữ,Phục vụ,14,5,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 11.830995, 'Longitude': 104.259743}",Quốc Oai,34,3
Bắc Ninh,24,Nữ,Phục vụ,8,3,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 10.562085, 'Longitude': 108.914484}",Hoài Đức,30,2
Thái Nguyên,34,Nữ,Nhân viên văn phòng,8,2,Thích yên tĩnh,"['Máy lạnh', 'Chỗ để xe', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 18.764684, 'Longitude': 105.199504}",Thạch Thất,28,2
Hưng Yên,24,Nữ,Kỹ sư,16,4,Thích yên tĩnh,"['Máy lạnh', 'Bếp', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 23.272523, 'Longitude': 106.960333}",Cầu Giấy,27,2
Bắc Giang,27,Nữ,Nhân viên văn phòng,18,5,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 19.417498, 'Longitude': 108.26303}",Thanh Oai,47,1
Bắc Ninh,31,Nữ,Freelancer,10,4,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 10.382542, 'Longitude': 108.897266}",Hoàng Mai,32,3
Lai Châu,29,Nam,Phục vụ,20,3,Không quan trọng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 23.290524, 'Longitude': 105.341963}",Nam Từ Liêm,42,4
Lạng Sơn,28,Nữ,Freelancer,19,1,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 21.384457, 'Longitude': 103.914201}",Phú Xuyên,14,3
Bắc Ninh,34,Nữ,Kỹ sư,11,4,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 13.635647, 'Longitude': 104.286513}",Ba Vì,48,4
Cao Bằng,25,Nữ,Freelancer,18,3,Không quan trọng,"['An ninh tốt', 'Nội thất sẵn', 'Bếp']","{'Latitude': 10.632395, 'Longitude': 107.228876}",Đông Anh,15,2
Phú Thọ,26,Nam,Công nhân,12,5,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 18.280252, 'Longitude': 107.306202}",Hà Đông,14,3
Cao Bằng,35,Nam,Freelancer,13,3,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Máy lạnh', 'Bếp', 'An ninh tốt']","{'Latitude': 11.952183, 'Longitude': 106.510317}",Phúc Thọ,11,1
Hải Phòng,24,Nữ,Kỹ sư,9,2,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'Bếp']","{'Latitude': 16.053105, 'Longitude': 103.989004}",Phúc Thọ,39,3
Thái Nguyên,21,Nữ,Sinh viên,3,1,Nuôi thú cưng,"['Chỗ để xe', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 18.110858, 'Longitude': 107.452828}",Ba Đình,22,2
Bắc Kạn,24,Nam,Nhân viên văn phòng,8,4,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 11.487316, 'Longitude': 105.350566}",Đan Phượng,23,3
Bắc Giang,26,Nam,Phục vụ,13,5,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 13.334398, 'Longitude': 107.222432}",Hoàng Mai,45,2
Lai Châu,31,Nam,Phục vụ,18,2,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 15.562355, 'Longitude': 104.983951}",Gia Lâm,45,1
Lào Cai,32,Nữ,Phục vụ,5,2,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 17.208556, 'Longitude': 106.085993}",Thường Tín,46,3
Thái Bình,21,Nữ,Sinh viên,2,5,Nuôi thú cưng,"['Chỗ để xe', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 16.212154, 'Longitude': 104.700733}",Hoài Đức,46,1
Vĩnh Phúc,34,Nam,Nhân viên văn phòng,16,4,Thích yên tĩnh,['An ninh tốt'],"{'Latitude': 11.091485, 'Longitude': 104.287458}",Hà Đông,22,3
Nam Định,34,Nam,Nhân viên văn phòng,10,3,Nuôi thú cưng,"['Chỗ để xe', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 18.232727, 'Longitude': 102.166501}",Ba Đình,49,1
Quảng Ninh,32,Nữ,Kỹ sư,11,2,Không quan trọng,['Bếp'],"{'Latitude': 19.811846, 'Longitude': 102.893025}",Sóc Sơn,33,4
Sơn La,20,Nữ,Sinh viên,6,2,Không quan trọng,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'Bếp']","{'Latitude': 18.804786, 'Longitude': 103.006314}",Cầu Giấy,12,2
Điện Biên,30,Nam,Công nhân,13,1,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 19.373172, 'Longitude': 108.91399}",Thanh Trì,14,4
Nam Định,35,Nam,Công nhân,11,2,Nuôi thú cưng,"['Máy lạnh', 'Bếp', 'Nội thất sẵn']","{'Latitude': 12.283571, 'Longitude': 107.201433}",Phú Xuyên,28,2
Hải Dương,30,Nữ,Kỹ sư,15,3,Thích yên tĩnh,"['Chỗ để xe', 'An ninh tốt']","{'Latitude': 17.112577, 'Longitude': 103.998206}",Bắc Từ Liêm,45,3
Hải Dương,33,Nam,Freelancer,12,4,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 14.008664, 'Longitude': 104.091362}",Hoài Đức,21,2
Hà Giang,27,Nam,Freelancer,12,3,Thích yên tĩnh,"['An ninh tốt', 'Nội thất sẵn']","{'Latitude': 23.154528, 'Longitude': 102.627171}",Ba Đình,10,3
Cao Bằng,32,Nam,Công nhân,15,3,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 12.084612, 'Longitude': 106.101637}",Phúc Thọ,35,3
Hà Nam,33,Nam,Freelancer,14,1,Nuôi thú cưng,"['An ninh tốt', 'Bếp', 'Nội thất sẵn']","{'Latitude': 11.377974, 'Longitude': 102.85519}",Hoàng Mai,19,3
Hà Giang,26,Nam,Freelancer,9,4,Thích yên tĩnh,['An ninh tốt'],"{'Latitude': 12.529619, 'Longitude': 107.416883}",Bắc Từ Liêm,22,2
Tuyên Quang,25,Nam,Công nhân,13,5,Không quan trọng,"['An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 10.398007, 'Longitude': 103.395216}",Chương Mỹ,49,3
Cao Bằng,25,Nam,Nhân viên văn phòng,12,5,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 19.647848, 'Longitude': 108.426707}",Hà Đông,35,4
Hải Phòng,28,Nam,Công nhân,11,3,Nuôi thú cưng,"['Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 18.49083, 'Longitude': 105.242827}",Cầu Giấy,32,2
Ninh Bình,23,Nữ,Phục vụ,14,3,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 12.259656, 'Longitude': 105.736213}",Ba Đình,29,1
Phú Thọ,28,Nữ,Kỹ sư,6,5,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 19.949152, 'Longitude': 106.962332}",Hai Bà Trưng,11,3
Vĩnh Phúc,30,Nam,Phục vụ,15,3,Không quan trọng,"['Bếp', 'Nội thất sẵn']","{'Latitude': 13.940766, 'Longitude': 106.168946}",Cầu Giấy,34,4
Bắc Kạn,34,Nữ,Kỹ sư,20,3,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 19.739027, 'Longitude': 106.169244}",Mỹ Đức,29,1
Thái Nguyên,27,Nam,Freelancer,15,2,Nuôi thú cưng,"['Máy lạnh', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 15.55922, 'Longitude': 102.930011}",Sơn Tây,16,2
Hải Dương,23,Nam,Công nhân,11,3,Nuôi thú cưng,"['Bếp', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 22.192458, 'Longitude': 102.649113}",Thanh Oai,44,1
Vĩnh Phúc,26,Nam,Kỹ sư,6,4,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 15.859645, 'Longitude': 104.963257}",Thanh Oai,48,4
Quảng Ninh,30,Nam,Nhân viên văn phòng,9,2,Nuôi thú cưng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'Bếp', 'Chỗ để xe']","{'Latitude': 20.572826, 'Longitude': 102.807559}",Sơn Tây,12,1
Điện Biên,24,Nam,Nhân viên văn phòng,15,1,Thích yên tĩnh,"['Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 18.956, 'Longitude': 103.715678}",Hoàn Kiếm,26,1
Tuyên Quang,23,Nam,Phục vụ,8,3,Thích yên tĩnh,"['Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 9.370187, 'Longitude': 107.555917}",Thạch Thất,30,4
Bắc Ninh,33,Nam,Phục vụ,6,1,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 14.888815, 'Longitude': 108.309926}",Đống Đa,37,4
Hà Nội,35,Nữ,Công nhân,10,2,Nuôi thú cưng,"['An ninh tốt', 'Máy lạnh']","{'Latitude': 14.639599, 'Longitude': 108.605388}",Nam Từ Liêm,44,4
Lạng Sơn,32,Nam,Nhân viên văn phòng,9,3,Nuôi thú cưng,"['Máy lạnh', 'Nội thất sẵn']","{'Latitude': 16.496693, 'Longitude': 103.994911}",Mỹ Đức,17,4
Lào Cai,28,Nam,Freelancer,14,2,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 14.86223, 'Longitude': 102.930642}",Ba Vì,40,2
Quảng Ninh,27,Nữ,Kỹ sư,15,1,Nuôi thú cưng,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 17.047509, 'Longitude': 105.290398}",Đan Phượng,11,1
Hà Nam,31,Nữ,Công nhân,15,2,Thích yên tĩnh,"['Máy lạnh', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 16.47388, 'Longitude': 104.529613}",Đống Đa,32,1
Yên Bái,33,Nam,Phục vụ,13,4,Không quan trọng,"['Chỗ để xe', 'Nội thất sẵn', 'An ninh tốt', 'Bếp']","{'Latitude': 9.413355, 'Longitude': 104.752988}",Sóc Sơn,27,1
Lai Châu,33,Nữ,Kỹ sư,13,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 9.535065, 'Longitude': 106.404151}",Mỹ Đức,28,4
Yên Bái,31,Nữ,Phục vụ,5,3,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 12.42882, 'Longitude': 104.783554}",Sơn Tây,11,1
Bắc Ninh,21,Nữ,Sinh viên,8,4,Không quan trọng,"['Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 13.940785, 'Longitude': 102.981328}",Thường Tín,35,2
Bắc Giang,27,Nữ,Nhân viên văn phòng,10,4,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 19.426735, 'Longitude': 103.684731}",Gia Lâm,20,1
Quảng Ninh,24,Nữ,Kỹ sư,12,2,Không quan trọng,['Máy lạnh'],"{'Latitude': 20.757145, 'Longitude': 106.336798}",Quốc Oai,35,3
Bắc Giang,22,Nam,Sinh viên,2,1,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 9.492365, 'Longitude': 107.276864}",Thường Tín,42,2
Thái Bình,27,Nam,Công nhân,15,4,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 12.758937, 'Longitude': 106.924237}",Tây Hồ,22,1
Phú Thọ,31,Nam,Công nhân,17,2,Không quan trọng,"['Chỗ để xe', 'Bếp', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 11.376254, 'Longitude': 106.424328}",Quốc Oai,23,1
Hưng Yên,23,Nam,Công nhân,17,1,Không quan trọng,"['Bếp', 'Nhà vệ sinh riêng', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 11.355389, 'Longitude': 107.133302}",Đống Đa,16,4
Nam Định,23,Nam,Công nhân,17,3,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Bếp', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 17.86238, 'Longitude': 106.736905}",Thanh Oai,44,4
Lạng Sơn,35,Nữ,Nhân viên văn phòng,19,3,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 16.09848, 'Longitude': 108.323011}",Gia Lâm,13,1
Phú Thọ,21,Nam,Sinh viên,6,2,Nuôi thú cưng,"['Bếp', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 21.639107, 'Longitude': 108.593769}",Hoàn Kiếm,37,3
Vĩnh Phúc,30,Nữ,Phục vụ,15,2,Không quan trọng,"['Nội thất sẵn', 'Bếp']","{'Latitude': 16.554867, 'Longitude': 104.699598}",Sóc Sơn,44,3
Thái Bình,32,Nữ,Phục vụ,7,3,Nuôi thú cưng,"['Chỗ để xe', 'Nội thất sẵn', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 18.204559, 'Longitude': 103.792688}",Nam Từ Liêm,33,4
Bắc Giang,23,Nam,Freelancer,13,4,Nuôi thú cưng,"['Bếp', 'Nhà vệ sinh riêng', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 10.472016, 'Longitude': 108.520478}",Thanh Oai,21,1
Tuyên Quang,26,Nam,Công nhân,16,1,Không quan trọng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'Chỗ để xe', 'Bếp']","{'Latitude': 16.332703, 'Longitude': 103.90234}",Mỹ Đức,47,4
Vĩnh Phúc,25,Nữ,Kỹ sư,20,5,Thích yên tĩnh,"['Chỗ để xe', 'Máy lạnh', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 14.586624, 'Longitude': 102.941992}",Đông Anh,15,4
Thái Nguyên,29,Nữ,Kỹ sư,12,5,Thích yên tĩnh,['An ninh tốt'],"{'Latitude': 18.133659, 'Longitude': 107.025617}",Quốc Oai,46,4
Hà Nội,23,Nam,Nhân viên văn phòng,14,4,Thích yên tĩnh,"['Chỗ để xe', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 15.262859, 'Longitude': 109.194785}",Đan Phượng,48,1
Ninh Bình,24,Nữ,Freelancer,19,3,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 19.139099, 'Longitude': 104.554414}",Hai Bà Trưng,43,1
Hòa Bình,28,Nữ,Nhân viên văn phòng,19,4,Không quan trọng,['Máy lạnh'],"{'Latitude': 20.85138, 'Longitude': 103.128229}",Gia Lâm,25,2
Bắc Giang,22,Nữ,Sinh viên,0,4,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 18.071599, 'Longitude': 104.413266}",Đông Anh,17,4
Hòa Bình,25,Nam,Kỹ sư,11,2,Nuôi thú cưng,"['An ninh tốt', 'Chỗ để xe', 'Máy lạnh', 'Bếp']","{'Latitude': 21.347816, 'Longitude': 105.167889}",Gia Lâm,39,1
Hải Dương,24,Nam,Phục vụ,15,4,Không quan trọng,['Chỗ để xe'],"{'Latitude': 21.456319, 'Longitude': 104.940919}",Hà Đông,28,4
Ninh Bình,18,Nam,Sinh viên,3,5,Thích yên tĩnh,"['An ninh tốt', 'Chỗ để xe']","{'Latitude': 19.010179, 'Longitude': 105.491301}",Bắc Từ Liêm,25,3
Hưng Yên,31,Nữ,Freelancer,11,1,Nuôi thú cưng,"['Chỗ để xe', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 20.729111, 'Longitude': 105.239029}",Thường Tín,32,1
Bắc Giang,26,Nam,Kỹ sư,18,1,Thích yên tĩnh,"['Chỗ để xe', 'Bếp', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 22.70269, 'Longitude': 105.953569}",Ứng Hòa,32,2
Nam Định,27,Nữ,Công nhân,18,3,Không quan trọng,"['Nội thất sẵn', 'Chỗ để xe', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 15.677536, 'Longitude': 102.245076}",Long Biên,19,2
